"委員会","","ふりがな"
"区民生活委員会","03_常任","くみんせいかついいんかい"
"決算特別委員会","02_予算/決算","けっさんとくべついいんかい"
"企画総務委員会","03_常任","きかくそうむいいんかい"
"委員会","01_定例","いいんかい"
"総合・災害対策等特別委員会","04_特別","そうごう・さいがいたいさくなどとくべついいんかい"
"都市農業・みどり環境等特別委員会","04_特別","としのうぎょう・みどりかんきょうなどとくべついいんかい"
"予算特別委員会","02_予算/決算","よさんとくべついいんかい"
"議会運営委員会","03_常任","ぎかいうんえいいいんかい"
"都市整備委員会","03_常任","としせいびいいんかい"
"交通対策等特別委員会","04_特別","こうつうたいさくなどとくべついいんかい"
"保健福祉委員会","03_常任","ほけんふくしいいんかい"
"医療・病院整備等特別委員会","04_特別","いりょう・びょういんせいびなどとくべついいんかい"
"定例会","05_その他","ていれいかい"
"臨時会","05_その他","りんじかい"
"医療・病院整備等特別委員","05_その他","いりょう・びょういんせいびなどとくべついいん"
"清掃・エネルギー等特別委員会","04_特別","せいそう・えねるぎーなどとくべついいんかい"
"健康福祉委員会","03_常任","けんこうふくしいいんかい"
"医療・高齢者等特別委員会","04_特別","いりょう・こうれいしゃなどとくべついいんかい"
"環境まちづくり委員会","03_常任","かんきょうまちづくりいいんかい"
"清掃リサイクル等特別委員会","04_特別","せいそうりさいくるなどとくべついいんかい"
"災害対策等特別委員会","04_特別","さいがいたいさくなどとくべついいんかい"
"文教委員会","03_常任","ぶんきょういいんかい"
"総合計画等特別委員会","04_特別","そうごうけいがなどとくべついいんかい"
"高齢者・医療等特別委員会","04_特別","こうれいしゃ・いりょうなどとくべついいんかい"
"地方分権等調査特別委員会","04_特別","ちほうぶんけんなどちょうさとくべついいんかい"
"清掃リサイクル等調査特別委員会","04_特別","せいそうりさいくるなどちょうさとくべついいんかい"
"医療介護等調査特別委員会","04_特別","いりょうかいごなどちょうさとくべついいんかい"
"地域医療介護等調査特別委員会","04_特別","ちいきいりょうかいごなどちょうさとくべついいんかい"
"地域産業振興対策特別委員会","04_特別","ちいきさんぎょうしんこうたいさくとくべついいんかい"
"医療問題等調査特別委員会","04_特別","いりょうもんだいなどちょうさとくべついいんかい"
"区民環境清掃委員会","03_常任","くみんかんきょうせいそういいんかい"
"都市整備土木委員会","03_常任","としせいびどぼくいいんかい"
